leftDia,rightDia,leftFront,rightFront,pulse
456,1124,536,475,257
437,1151,535,477,258
454,1165,555,496,259
458,1146,557,480,260
461,1153,553,503,261
457,1167,550,499,262
460,1135,572,487,263
464,1137,575,497,264
455,1134,581,511,265
464,1152,558,502,266
467,1145,576,515,267
468,1145,576,532,268
463,1148,593,509,269
472,1162,604,511,270
449,1162,609,531,271
469,1149,592,527,272
447,1164,605,541,273
467,1164,602,550,274
443,1145,614,538,275
457,1161,631,556,276
460,1153,620,538,277
474,1134,649,549,278
488,1170,629,548,279
474,1161,633,576,280
468,1163,657,566,281
464,1178,659,582,282
450,1152,660,577,283
468,1144,659,588,284
464,1153,672,575,285
450,1154,674,595,286
448,1157,682,593,287
453,1168,701,586,288
474,1176,708,611,289
480,1174,693,621,290
473,1173,704,620,291
477,1156,708,609,292
457,1154,728,612,293
480,1175,714,627,294
467,1169,734,647,295
467,1173,746,642,296
473,1149,757,644,297
458,1165,754,662,298
447,1154,751,645,299
451,1165,771,642,300
460,1158,767,656,301
497,1152,776,677,302
458,1159,788,682,303
472,1183,800,678,304
450,1163,788,664,305
467,1168,805,678,306
475,1180,814,687,307
465,1183,815,702,308
461,1151,816,695,309
453,1178,844,713,310
470,1161,837,714,311
453,1166,839,720,312
475,1173,862,717,313
450,1151,861,721,314
470,1191,886,745,315
459,1173,876,738,316
461,1167,893,762,317
449,1165,899,770,318
460,1192,890,778,319
466,1179,918,778,320
469,1188,919,787,321
453,1167,948,791,322
448,1174,943,783,323
464,1177,930,790,324
450,1175,964,789,325
468,1176,948,803,326
463,1180,978,805,327
476,1197,966,820,328
451,1170,995,831,329
462,1183,1007,829,330
473,1182,1002,857,331
462,1175,1029,862,332
450,1196,1031,873,333
448,1188,1031,867,334
462,1198,1036,873,335
458,1182,1052,875,336
458,1189,1064,869,337
449,1181,1085,902,338
481,1187,1076,915,339
457,1188,1084,902,340
470,1189,1108,930,341
467,1205,1135,932,342
473,1202,1110,932,343
453,1180,1157,945,344
472,1195,1139,946,345
474,1188,1171,975,346
449,1202,1156,965,347
459,1189,1171,996,348
454,1194,1197,983,349
473,1184,1186,1015,350
472,1213,1225,1010,351
470,1191,1210,1021,352
456,1193,1230,1024,353
463,1195,1260,1028,354
480,1194,1264,1046,355
458,1192,1289,1060,356
450,1223,1297,1063,357
489,1224,1298,1128,358
484,1191,1321,1090,359
483,1194,1335,1089,360
476,1223,1334,1122,361
466,1209,1350,1134,362
484,1188,1363,1142,363
470,1205,1401,1142,364
477,1211,1406,1168,365
492,1240,1421,1202,366
507,1214,1424,1190,367
502,1200,1471,1199,368
518,1219,1474,1197,369
501,1205,1471,1218,370
500,1200,1497,1234,371
490,1207,1492,1235,372
520,1210,1518,1260,373
518,1211,1549,1260,374
530,1207,1572,1284,375
518,1204,1566,1295,376
521,1208,1590,1321,377
531,1231,1613,1327,378
526,1221,1636,1335,379
528,1230,1653,1376,380
528,1219,1653,1356,381
533,1224,1696,1376,382
547,1224,1710,1382,383
542,1222,1727,1420,384
585,1212,1742,1436,385
567,1238,1748,1433,386
557,1232,1786,1456,387
568,1244,1802,1454,388
563,1228,1809,1495,389
589,1220,1838,1520,390
582,1218,1869,1517,391
576,1221,1884,1551,392
584,1220,1892,1549,393
585,1220,1907,1568,394
592,1219,1946,1594,395
584,1261,1978,1596,396
584,1241,1983,1640,397
574,1247,1999,1652,398
568,1233,2032,1651,399
581,1226,2073,1690,400
588,1229,2071,1700,401
593,1236,2108,1726,402
574,1233,2142,1738,403
563,1256,2143,1747,404
574,1252,2184,1771,405
560,1259,2208,1824,406
557,1257,2223,1815,407
558,1253,2264,1822,408
565,1241,2308,1890,409
562,1273,2308,1871,410
561,1247,2329,1919,411
560,1250,2370,1918,412
561,1250,2392,1961,413
529,1275,2419,1980,414
536,1249,2440,1997,415
546,1268,2478,2012,416
537,1254,2524,2065,417
532,1268,2540,2059,418
536,1260,2581,2110,419
526,1266,2602,2139,420
524,1273,2654,2141,421
518,1300,2667,2182,422
503,1297,2666,2198,423
522,1282,2731,2215,424
510,1296,2758,2246,425
516,1302,2804,2268,426
502,1282,2824,2312,427
497,1316,2857,2333,428
521,1295,2890,2368,429
503,1301,2926,2381,430
518,1303,2952,2410,431
536,1312,3022,2453,432
529,1337,3031,2488,433
542,1335,3075,2538,434
535,1362,3100,2540,435
551,1345,3142,2555,436
544,1375,3152,2592,437
549,1386,3177,2633,438
559,1391,3200,2652,439
587,1413,3213,2686,440
573,1399,3231,2719,441
592,1432,3255,2766,442
613,1434,3258,2808,443
623,1434,3265,2838,444
625,1434,3272,2874,445
637,1477,3292,2944,446
645,1491,3315,2929,447
659,1513,3330,2989,448
664,1515,3306,3039,449
699,1539,3342,3062,450
691,1530,3347,3092,451
704,1525,3336,3135,452
722,1528,3355,3145,453
769,1522,3366,3188,454
752,1522,3372,3220,455
812,1523,3366,3237,456
800,1510,3377,3249,457
811,1503,3403,3266,458
831,1486,3373,3281,459
850,1477,3393,3290,460
859,1476,3407,3291,461
878,1437,3424,3328,462
913,1412,3410,3365,463
920,1393,3411,3307,464
958,1361,3420,3363,465
952,1328,3422,3345,466
981,1323,3451,3347,467
999,1295,3425,3359,468
1031,1246,3436,3367,469
1033,1239,3435,3408,470
1062,1210,3438,3417,471
1094,1180,3438,3374,472
1127,1182,3488,3388,473
1132,1143,3438,3412,474
1153,1120,3452,3436,475
1161,1112,3482,3456,476
1205,1121,3470,3418,477
1223,1097,3465,3413,478
1221,1097,3452,3439,479
1279,1114,3502,3391,480
1261,1096,3465,3426,481
1307,1108,3489,3453,482
1326,1123,3477,3447,483
1339,1140,3501,3455,484
1347,1132,3481,3469,485
1353,1123,3500,3485,486
1381,1158,3493,3498,487
1365,1164,3480,3483,488
1383,1143,3501,3474,489
1379,1177,3505,3483,490
1396,1177,3499,3493,491
1378,1180,3488,3502,492
1375,1158,3465,3502,493
1385,1156,3499,3506,494
1359,1163,3494,3491,495
1338,1145,3508,3501,496
1335,1171,3488,3514,497
1301,1149,3495,3524,498
1282,1127,3533,3544,499
1277,1132,3513,3500,500
1219,1120,3500,3510,501
1161,1065,3509,3542,502
1117,1055,3480,3501,503
1076,1033,3483,3517,504
1024,1019,3501,3544,505
985,975,3511,3515,506
946,928,3495,3540,507
871,926,3464,3519,508
804,890,3490,3515,509
770,828,3498,3510,510
692,787,3455,3522,511
653,774,3444,3558,512
628,717,3421,3525,512
